Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,RIC,Red Bull Racing,3,,0,6.0,1,25.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,OCO,Force India,31,,0,12.0,11,0.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,VER,Red Bull Racing,33,,0,5.0,5,10.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,SIR,Williams,35,,0,16.0,15,0.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,HAM,Mercedes,44,,0,4.0,4,12.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,VET,Ferrari,5,,0,1.0,8,4.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,SAI,Renault,55,,0,9.0,9,2.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,RAI,Ferrari,7,,0,2.0,3,15.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,BOT,Mercedes,77,,0,3.0,2,18.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,GRO,Haas F1 Team,8,,0,10.0,17,0.0
2018,3,Shanghai,Chinese Grand Prix,22.56,Rain,ERI,Sauber,9,,0,20.0,16,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,GAS,Toro Rosso,10,,0,17.0,12,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,PER,Force India,11,,0,8.0,3,15.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,ALO,McLaren,14,,0,13.0,7,6.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,LEC,Sauber,16,,0,14.0,6,8.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,STR,Williams,18,,0,11.0,8,4.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,VAN,McLaren,2,,0,16.0,9,2.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,MAG,Haas F1 Team,20,,0,15.0,13,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,HUL,Renault,27,,0,9.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,HAR,Toro Rosso,28,,0,19.0,10,1.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,RIC,Red Bull Racing,3,,0,4.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,OCO,Force India,31,,0,7.0,R,0.0
2018,4,Baku,Azerbaijan Grand Prix,27.07,Rain,VER,Red Bull Racing,33,,0,5.0,R,0.0
